Offer,Company Name,Product Details,Pack Details,Discounted Price,Original Price
25% OFF,Prestige,"Prestige
1L PMC 1.0 Plus Multi Kettle / Multi Cooker - Glass Lid With Stainless Steel Rim, Temperature Control, Power Indicator, Silver
5
3 Ratings
1 pc",1 pc,₹1499,₹1995
50% OFF,Desidiya,"Desidiya
Edison Tungsten Filament Decorative 4 W Bulb E27
5
1 Rating
1 pc",1 pc,₹99,₹199
33% OFF,MANSAA,"MANSAA
115 LEDs Star String Lights For Home Decor - With Flashing Modes, Remote & USB Adapter, 1.8 M, Cool White
5
4 Ratings
1 pc",1 pc,₹599,₹899
65% OFF,Nu Republic,"Nu Republic
Sprint All In One 25W 5A Charger With Type C Cable Supports All Fast Charging Technologies White, Red, Cable Included
5
1 Rating
1 pc",1 pc,₹349,₹999
73% OFF,Syska,"Syska
Smart Plug - Plastic, MWP-002, 3 Pin, Works With Alexa & Google Assistant, WIFI
1 pc",1 pc,₹699,₹2599
54% OFF,kent,"kent
16050 Hand Blender - 150W, 5 Speed Control, Copper Motor, Multiple Beaters, Overheating Protection, White
5
1 Rating
1 pc",1 pc,₹849,₹1850
13% OFF,GM,"GM
G-On Mini 3 Pin Extension Cord 1.5 M With Indicator Safety Shutter & 2 International Sockets
1 pc",1 pc,₹399,₹461
No Offer,Vega,"Vega
X2 Beard Trimmer - Stainless Steel Blades, Quick Charge, Cordless, 40 Length Settings
5
2 Ratings
260 g - (VHTH-17)",260 g - (VHTH-17),₹1499,No Original Price
No Offer,Philips,"Philips
Starrays 60 LEDs String Light - 12 Mtr, Bright, Multicolour, For Home Décor, Festive, Diwali, Party, Patio Lawn
5
2 Ratings
1 pc",1 pc,No Discounted Price,No Original Price
30% OFF,Eveready,"Eveready
Ultima Alkaline Battery - Metal, AA, 1.5 V
4 pcs - Blister Pack",No Pack Details,₹129,₹184
10% OFF,Philips,"Philips
LED Lamp T-Bulb/Beamer - 20 Watt, Energy Efficient, Cool Daylight, Base B22
4.5
43 Ratings
1 pc",1 pc,₹475,₹529
60% OFF,Duracell,"Duracell
Type C To 8 Pin Lightning Cable - 1.2 m, For Apple Devices, Black
3.5
2 Ratings
1 pc",1 pc,₹799,₹1999
57% OFF,Wonderchef,"Wonderchef
Nutri Blend Mixer Grinder & Blender - With Powerful 400W 22000 RPM Motor, Stainless Steel Blades, 2 Unbreakable Jars, Black
1 pc",1 pc,₹2299,₹5300
₹44 OFF,Duracell,"Duracell
Ultra Alkaline C Battery
2 x 2 pcs - Multipack",No Pack Details,₹555.81,₹600
42% OFF,Pigeon by Stovekraft,"Pigeon by Stovekraft
2 Slice Auto Pop Up Toaster - 750 Watt, Black
1 PC",1 PC,₹1099,₹1895
82% OFF,boAt,"boAt
Wave Style Call Smartwatch - Active Black, 4.29 cm
1 pc",1 pc,₹1149,₹6499
67% OFF,MANSAA,"MANSAA
USB Copper String Fairy Lights For Home Decor - 10 M, 100 LED, Multicolour, Festive
1 pc",1 pc,₹199,₹599
17% OFF,Panasonic,"Panasonic
Alkaline Battery - AAA, 1.5 V
4.3
38 Ratings
6 pcs - Blister Pack",6 pcs - Blister Pack,₹199,₹240
80% OFF,boAt,"boAt
Type C To Type C 3A 60W Fast Charging Cable - 1.5 m, White
2.3
3 Ratings
1 pc",1 pc,₹199,₹999
43% OFF,bb home,"bb home
Alkaline AA Batteries
3.7
35 Ratings
4 pcs",No Pack Details,₹69,₹120
46% OFF,Zebronics,"Zebronics
MPA10 Dual USB Adapter - With AC Socket, 5V 3.1 A Output, Black
5
1 Rating
1 pc",1 pc,₹349,₹649
64% OFF,Panasonic LED,"Panasonic LED
9W Smart Bulb - Alexa & Google Home Compatible, WIFI
2.8
6 Ratings
1 pc",1 pc,₹599,₹1650
26% OFF,Anchor by Panasonic,"Anchor by Panasonic
4 Socket Extension Board - Polycarbonate, 4 mtr, With LED Indicator
1 pc",1 pc,₹549,₹737
50% OFF,Duracell,"Duracell
Type A To Micro USB 2A Braided Fast Charging Cable & Data Sync - 1.2 m, Series 1, Black
3.9
36 Ratings
1 pc",1 pc,₹199,₹399
57% OFF,Havells,"Havells
BT5100C Micro USB Rechargeable Beard & Moustache Trimmer
1 pc",1 pc,₹689.68,₹1595
25% OFF,Eveready,"Eveready
Rechargeable Battery - Plastic, AAA, Blister Pack
2 pcs",2 pcs,₹169,₹225
44% OFF,Eveready,"Eveready
LED Bulb 9W Combo
4
556 Ratings
2 pcs - (Get 2 AA Batteries Free)",2 pcs - (Get 2 AA Batteries Free),₹169,₹300
₹11 OFF,Energizer,"Energizer
Coin Battery - 2032, 3 V, Zero Mercury
2 pcs - Blister Pack",2 pcs - Blister Pack,₹139,₹150
41% OFF,GM,"GM
3 Pin Universal Multi Plug Travel Adaptor With 6 AMP For Home Applications, Computers, Laptops - 3019
1 pc",1 pc,₹229,₹390
38% OFF,Wipro,"Wipro
Garnet LED Bulb - Cool Daylight White, Round, 9 Watts, B22 Base
4.1
12 Ratings
1 pc",1 pc,₹149,₹240
17% OFF,Eveready,"Eveready
Carbon Zinc Battery Red HD AAA 1012
4
2179 Ratings
2 x 10 pcs - Multipack",No Pack Details,₹300.51,₹360
48% OFF,Prestige,"Prestige
Electric Kettle PKOSS 1.8, 1500W - Silver, Black, Automatic Cut Off, Stainless Steel
2.4
8 Ratings
1.8 l",1.8 l,₹799,₹1545
42% OFF,Havells,"Havells
HD1903 Powerful Hair Dryer - 1200 W
1 pc",1 pc,₹873.68,₹1495
79% OFF,Portronics,"Portronics
Type A To Type 8 Pin L-Shape Konnect Lightning Cable - 1.2 m, For Apple Devices, Black
5
1 Rating
1 pc",1 pc,₹149,₹699
₹19 OFF,GM,"GM
3 Pin Multi-Plug Adaptor - Polycarbonate, 3050, 16 AMP
1 pc",1 pc,₹185,₹204
15% OFF,Panasonic,"Panasonic
Alkaline Battery - Evolta, AAA, 1.5 V, Blister Pack
6 pcs",6 pcs,₹229,₹270
53% OFF,Lexton,"Lexton
Ball Shaped 20 LED Fairy String Light With Plug - Warm White, For Home Decor
3.1
14 Ratings
1 pc",1 pc,₹329,₹699
66% OFF,Portronics,"Portronics
Mport 31 4-In-1 Multiport USB Hub
3.3
3 Ratings
1 pc",1 pc,₹275,₹799
62% OFF,Lifelong,"Lifelong
Luggage Weighing Scale - For Flights, Travel, Gas Cylinder, Portable, 1 Year Warranty, Silver, LLGWS27
1 pc",1 pc,₹499,₹1299
30% OFF,Eveready,"Eveready
0.5W LED Deco Bulb B22, Cool Daylight, 6500-7500K, Instant Start, Yellow
4.2
105 Ratings
1 pc",1 pc,₹49,₹70
22% OFF,Anchor by Panasonic,"Anchor by Panasonic
Flexi CORD - Plastic, 5219, 8 mtr
1 pc",1 pc,₹349,₹449
50% OFF,Sandisk,"Sandisk
128GB Ultra Flair Flash Drive - USB 3.0, Metal
1 pc",1 pc,₹749,₹1500
75% OFF,MANSAA,"MANSAA
USB Copper String Lights - 3 M, 30 LEDs, Pink, For Home Decor
1 pc",1 pc,₹99,₹399
₹130 OFF,Vega,"Vega
P3 Power Series Beard Trimmer For Men - VHTH-27, Gun Metal Silver
1 pc",1 pc,₹1169.1,₹1299
57% OFF,Duracell,"Duracell
Type A To Type C 3A Braided Fast Charging Cable & Data Sync - 1.2 m, Series 3, Black
3.3
25 Ratings
1 pc",1 pc,₹299,₹699
76% OFF,Nu Republic,"Nu Republic
Swift All In One 48w Fast Car Charger With Dual Output 48 Watts Total 18W USB + 30W Type C PD, Black
5
1 Rating
1 pc",1 pc,₹299,₹1249
No Offer,Havells,"Havells
LED Bulb B22 - 10W, Round, Energy-Saving, White
5
1 Rating
1 pc",1 pc,₹150,No Original Price
44% OFF,Philips,"Philips
LED Tubelight Slimline Advance 36w - Natural White 4000K
5
1 Rating
1 pc",1 pc,₹899,₹1599
25% OFF,Prestige,"Prestige
1L PMC 1.0 Plus Multi Kettle / Multi Cooker - Glass Lid With Stainless Steel Rim, Temperature Control, Power Indicator, Silver
5
3 Ratings
1 pc",1 pc,₹1499,₹1995
50% OFF,Desidiya,"Desidiya
Edison Tungsten Filament Decorative 4 W Bulb E27
5
1 Rating
1 pc",1 pc,₹99,₹199
33% OFF,MANSAA,"MANSAA
115 LEDs Star String Lights For Home Decor - With Flashing Modes, Remote & USB Adapter, 1.8 M, Cool White
5
4 Ratings
1 pc",1 pc,₹599,₹899
65% OFF,Nu Republic,"Nu Republic
Sprint All In One 25W 5A Charger With Type C Cable Supports All Fast Charging Technologies White, Red, Cable Included
5
1 Rating
1 pc",1 pc,₹349,₹999
73% OFF,Syska,"Syska
Smart Plug - Plastic, MWP-002, 3 Pin, Works With Alexa & Google Assistant, WIFI
1 pc",1 pc,₹699,₹2599
54% OFF,kent,"kent
16050 Hand Blender - 150W, 5 Speed Control, Copper Motor, Multiple Beaters, Overheating Protection, White
5
1 Rating
1 pc",1 pc,₹849,₹1850
13% OFF,GM,"GM
G-On Mini 3 Pin Extension Cord 1.5 M With Indicator Safety Shutter & 2 International Sockets
1 pc",1 pc,₹399,₹461
No Offer,Vega,"Vega
X2 Beard Trimmer - Stainless Steel Blades, Quick Charge, Cordless, 40 Length Settings
5
2 Ratings
260 g - (VHTH-17)",260 g - (VHTH-17),₹1499,No Original Price
No Offer,Philips,"Philips
Starrays 60 LEDs String Light - 12 Mtr, Bright, Multicolour, For Home Décor, Festive, Diwali, Party, Patio Lawn
5
2 Ratings
1 pc",1 pc,No Discounted Price,No Original Price
